pickup_grid,trips,avg_value,lat,lon,cluster
-248_7370,170,0.03804117647058823,-1.2375,36.8525,2
-251_7371,1859,0.037944593867670795,-1.2525,36.8575,2
-243_7372,124,0.037870967741935484,-1.2125000000000001,36.862500000000004,5
-241_7377,119,0.03782352941176471,-1.2025000000000001,36.8875,5
-259_7359,21857,0.037821601775175,-1.2925,36.7975,2
-259_7372,2559,0.03765220789370848,-1.2925,36.862500000000004,2
-266_7369,2118,0.03756338526912181,-1.3275000000000001,36.847500000000004,2
-242_7381,190,0.037547368421052635,-1.2075,36.9075,5
-265_7369,8271,0.03744795067101923,-1.3225,36.847500000000004,2
-254_7388,571,0.03740805604203152,-1.2675,36.9425,7
-246_7361,2055,0.03731581508515815,-1.2275,36.8075,2
-256_7351,145,0.037296551724137934,-1.2775,36.7575,4
-251_7364,852,0.03717840375586854,-1.2525,36.8225,2
-263_7367,34109,0.036921831481427185,-1.3125,36.8375,2
-264_7368,46238,0.03691627557420303,-1.3175000000000001,36.8425,2
-251_7363,1131,0.036853448275862066,-1.2525,36.8175,2
-265_7364,16438,0.036810150261589,-1.3225,36.8225,2
-267_7372,620,0.03665524193548387,-1.3325,36.862500000000004,2
-259_7377,3190,0.03653432601880878,-1.2925,36.8875,7
-261_7358,2007,0.03645739910313901,-1.3025,36.792500000000004,2
-242_7380,595,0.036438235294117646,-1.2075,36.9025,5
-255_7349,123,0.03642276422764228,-1.2725,36.7475,4
-250_7369,308,0.03637012987012987,-1.2475,36.847500000000004,2
-264_7364,13423,0.03632624972062877,-1.3175000000000001,36.8225,2
-262_7378,843,0.03630367734282325,-1.3075,36.8925,7
-277_7353,196,0.03620408163265306,-1.3825,36.7675,1
-246_7386,308,0.03619805194805195,-1.2275,36.9325,7
-253_7376,1137,0.03610993843447669,-1.2625,36.8825,7
-263_7370,603,0.035972222222222225,-1.3125,36.8525,2
-258_7359,8581,0.03580474303694208,-1.2875,36.7975,2
-265_7371,211,0.03549763033175356,-1.3225,36.8575,2
-267_7371,147,0.035326530612244895,-1.3325,36.8575,2
-253_7361,8234,0.03505112946320136,-1.2625,36.8075,2
